;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
1950,87;3,56;4464,52;5899,2;2477,82;4015,44;7962,19;8043,09;2,79;3,28;2039,19;3,1;2,7;1975,29;4012,55;4051,83;2076,82;1970,96;1948,87;4,41;2024,88;1935,6;1923,77;1886,36;1929,53;1917,43;9,01;4034,94;6121,7;2,84;3,49;10060,81;8177,58;8157,09;4084,94;2073,56;9,4
53,28;5,59;2485,2;1991,68;4659,1;3995,59;4035,08;4060,39;2,81;2,48;4192,23;4,05;2,64;10,09;2021,72;2060,13;4092,05;1947,79;5,33;4,58;4,28;2,77;3,42;2,94;2,8;2,73;1912,48;4042,11;6123,05;3,26;3,15;9976,77;8112,87;8026,21;4069,83;3872,4;1825,63
1912,41;5,88;4412,6;6420,12;2286,28;4007,29;7030,37;6340,66;3,41;2112,6;2159,31;2,98;3,09;8,88;3927,46;2025,01;2038,02;38,51;7,3;1916,46;7,11;3,45;2,88;2,76;3,1;3,1;11,56;5986,42;4301,97;2011,15;1969,05;8022,3;8115,96;8224,17;4030,41;2042,1;11,06
56,04;6,56;5832,93;3966,21;4496,28;4007,19;4085,63;3976,64;3,2;2,7;4111,41;1986,58;1986,4;1975,26;4015,82;4154,05;4098,71;1901,73;5,1;4,12;4,43;3,72;3,21;3,2;3,58;3,62;9,29;4016,22;4162,73;3,28;3,93;10028,5;8088,47;8171,25;4067,19;2052,46;9,78
2188,28;2452,78;6283,21;3878,5;1954,76;4011,55;6086,89;8090,54;2006,68;2,69;4070,79;3,3;2,76;9,67;2045,09;1996,56;2046,79;1920,07;1938,62;4,81;6,5;2,54;2,46;2,8;2,83;3,14;2013,63;4098,56;6246,98;2,64;2,9;9883,33;8157,26;8122,97;4080,28;4018,85;1793,07
60,21;5,58;5938,14;2368,66;1962,63;4017,41;6493,87;8108,9;2,75;3,24;2155,65;3,32;2,59;9,28;4055,35;2108,9;2081,8;37,26;5,72;4,38;1958,02;1916,19;1977,09;1881,88;1938,55;1956,43;9,08;6031,65;4136,71;3,25;3,42;8147,1;8164,17;8071,54;4039,03;2005,53;9,26
1949,57;6,72;6289,27;6057,75;1962,74;4140;10306,83;9893,93;2,69;3;4129,44;4,58;2,97;1893,83;4078,2;4531,57;4055,29;1896,54;5,65;1937,71;3,73;3,22;2,39;2,96;2,98;2,87;1987,43;4039,31;6145,44;3,73;1907,68;10205;8185,7;8085,27;4229,32;2032,07;1788,2
49,69;4;4445,23;3950,55;2050,92;4029,76;6424,51;8017,42;6,96;1985,17;2164,16;3,52;3,99;11,23;2051,14;2004,09;2043,53;1953,23;10,26;8,8;3,55;2,91;2,4;2,84;2,87;2,71;9,82;4114,7;4190,75;2005,46;2,74;10188,23;8191,59;8073,52;3992,55;4050,28;10,15
2517,34;7,82;4222,27;6848,54;4067,77;4017,28;7853,01;6091,18;3,22;2,79;4220;1996,11;1968,98;1990,37;4006,19;2002,47;4001,36;41,01;1882,86;7,01;3,62;3,46;3,2;2,77;4,19;2,6;8,9;6121,15;4045,31;2,84;2,66;8132,71;7969,95;8127,64;3947,24;2102,97;1806,99
56,93;5,96;2563,92;5917,13;1978,5;4095,71;9981,95;8045,72;2360,76;3,09;4091,58;3,4;2,86;10,05;3994,01;4034;2071,03;1884,3;5,56;4,97;3,81;3;12,94;3,22;2,84;2,82;1940,64;4086,02;6088,74;2,49;3,41;10102,5;7977,4;8077,44;3955,74;2067,9;9,79
2495,65;2441,59;3888,28;5988,48;2017,78;4269,92;4135,88;4031,51;2,71;3,1;2125,93;2,91;2,54;9,02;2021,59;1951,95;2083,49;1890,14;6,9;1905,69;1897,31;1910,38;1974,7;1916,67;1951,23;1949,62;8,99;4035,1;4123,19;6,61;1940,14;10298,51;7889,42;8026,3;4023,88;3990,81;12,24
53,73;3,78;1973,2;6179,44;1955,24;4051,98;7985,67;8062,17;3,22;3,04;4146,64;4,19;2,68;1984,05;3918,81;2048;4041,24;40,37;3,88;3,62;3,03;3,25;3,52;3,8;9,02;2,56;1947,65;6159,26;6144,32;3,21;3,47;8140,64;7926,53;8125,57;4179,1;2043,32;1825,34
2295,53;5,16;4478,41;2030,55;3854,43;4037,86;5911,49;4089,71;3,53;2000,06;2139,75;2,87;2,83;9,64;4072,05;3991,8;2076,41;1842,21;1849,15;6,2;3,6;2,84;3,19;2,96;3,22;2,69;15,57;4149,71;4158,88;1994,6;2,61;10274,76;7958,74;7935,77;4016,91;2044,96;11,04
57,56;5,36;3892,01;4307,9;2564,41;4068,18;6112,47;8088,86;2,84;3,63;4075,08;2018,01;1993,91;9,62;2058;2117,85;4065,85;1943,41;9,07;5,78;4,35;4,21;3,58;3,6;3,15;3,18;10,15;4124,64;4196,44;3,82;3,25;10247,69;8022,49;8015;4068;3967,91;1824,09
1915,04;5,8;6002,84;1967,93;4492,01;4022,86;4118,72;4051,96;1967,54;3,45;4013,42;3,97;3,01;1971,73;4000,64;2042,9;2041,82;38,29;6,79;5,46;3,75;2,67;2,58;2,93;3,2;2,44;1989,41;6076,64;6095,91;3,95;1951,99;8133,39;8159,88;7949,38;4015,75;2030,33;10,33
52,13;5,56;5932,64;3835,41;1873,98;4018,19;8060,83;6073,04;3,42;3,46;2162,79;3,37;2,91;10;4000,41;3931,22;2092,76;1908,07;6,01;1884,96;1906,12;1944,23;1925,67;1894,29;1961,16;1983,55;9,87;4142,85;4051,4;3,49;2,79;10205,37;8199,28;8031,01;4036,97;2066,76;1800,65
2276,36;2553,92;1949,81;3892,28;2022,18;4012,6;4046,37;5975,6;2,83;2,8;4165,92;4,55;3,72;1936,38;2023,31;2010,75;4029,79;1970,54;1864,72;4,21;3,23;4,28;3,13;3,08;2,9;2,79;1968,04;4079;6122,62;2,72;2,55;10154,61;7994,43;8063,65;4015,87;3967,4;9,68
56,12;5,95;7306,5;2489,35;1906,72;3982,28;8005,1;6088,58;3,21;2606,78;2162,22;3,52;2,63;9,37;3975,98;2010,73;2073,9;36,57;4,25;3,12;2,91;7,13;2,92;5,27;2,96;2,98;9,22;6161,9;4164,29;1940,31;2,9;8161,71;8108,53;8169,33;3910,06;2039,01;1784,5
1944,18;5,86;7912,95;4519,24;4061,34;3997,17;4018,32;6603,17;3,13;3,37;4090,06;2036,81;2012,99;9,91;3995,95;4020,38;4440,48;1908,59;6,04;4,96;4,43;2,57;3,71;4,54;3,72;5,34;9,34;4020,05;4133,3;3,39;2,89;10211,06;7962,41;8169,01;4007,31;2056,78;10,84
54,3;3,95;8484,91;2044,16;2035,11;4328,73;3963,33;4622,54;1965,9;2,78;4040,19;3,81;3,27;1987,17;2027,37;2018,73;4073,16;1949,49;5,28;3,71;3,54;3,62;2,79;4,77;3,21;4,08;1889,5;4135,01;6242,23;3,15;2033,55;10191,25;8199,49;8189,08;3976,53;4034,44;1799,47
1956,54;5,74;6077,2;6406,55;4495,72;3982,93;4305,07;3997,33;2,76;3,91;4067,77;3,22;2,46;11,6;4499,01;2047,73;4103,89;37,69;6,01;1917,28;1936,35;2011,02;1971,75;1947,27;1952,1;1948,91;9,28;5984,73;4115,58;2,73;2,57;7851,86;8098,57;8255,46;3997,43;2011,07;10,62
52,46;5,7;6747,9;6779,25;2597,94;4017,32;6616,68;4002,74;3,16;2,8;4165,09;3,53;2,88;10,29;4044,33;3972,92;4192,21;1949,24;1934,85;4,13;4,09;3,23;2,69;3,93;3,02;2,81;1915,35;4064,66;6172,31;2,75;2,61;10036,43;8226,8;8139,57;3907,57;2050,22;1802,77
2151,33;2409,94;4675,72;4718,34;1965,32;4013,32;6095,16;8014,15;3,57;2480,82;4157,04;2,81;2,74;2410,09;2010,92;2024,42;3895,23;1958,77;6,59;4,87;3,18;3;2,76;2,83;2,73;2,62;9,41;4047,52;4141,05;1963,48;2,75;10117,63;8674,31;8133,84;3954,11;4033,67;11,07
56,13;4,73;6151,12;3903,53;3950,33;4015,43;3978,59;3984,27;3,83;3,51;4019,86;1985,1;1901,61;12,75;3983,93;2015,89;1854,08;43,46;9,65;6,4;8,04;4,19;3,56;3,67;4;3,81;9,53;5997,56;4116,2;2,98;4,03;7876,95;8203,78;8269,39;3880,22;2051,46;1799,8
1946,32;6,52;6437,09;5752,17;2220,58;4014,93;8408,73;6034,43;1890,09;2,74;4112,38;3,05;3,58;1929,99;4004,55;3993,95;3562,6;2085,32;11,84;7,65;3,9;3,14;3,01;2,85;3,14;3,2;1880,28;4038,25;6145,72;4,74;1928,13;9975,05;8000,75;8150,04;3967,91;2024,57;9,57
53,31;3,88;2112,99;3993,37;2001,22;3997,78;3935,85;5992,86;2,6;3,89;4157,33;3,5;2,66;11,52;2018,55;2037,74;3986,92;2031,52;1862,18;1940,07;1940,64;1869,85;1907,33;1918,13;1965,76;2041,02;8,79;4015,11;4107,35;3,74;2,74;10408,85;7904,15;8140,21;3979,78;4020,64;1838,14
2288,74;3,31;5966,97;2583,76;4339,51;4016,77;5881,12;6146,76;2,77;2,8;4107,2;4,22;3,48;11,21;3995,59;2060,09;3967;40,67;3,85;4,27;4,08;4,19;2,35;2,87;2,99;2,86;1928,3;6041,95;6166,73;2,86;3,18;8284,76;8039,65;10637,79;4139,47;2035,53;9,63
54,32;4,69;3968,14;4140,8;2261,66;3974,29;3963,68;4025,91;2,98;1967,67;4032,98;3,36;2,42;1997,94;3968;3976,89;3743,37;2037,82;6,24;3,96;2,78;3,22;2,44;2,64;2,71;2,72;10,35;4081,01;4147,18;2004,32;3,6;10089,28;8018,82;9147,51;4310,37;2087,45;1859,82
2140,42;2299,94;3921,89;6066,61;4094,29;3998,87;5843,84;4105,85;2,97;2,68;4196,44;1998,83;1938,74;9,25;2076,64;2248,35;1874,23;1941,92;6,98;4,93;4,67;3,47;2,33;2,65;3,74;3,7;9,94;4092,5;4219,62;3,05;3,24;10140,03;7976,19;9027,78;4167,21;4117,75;11,08
55,61;3,59;5912,5;3942,61;2065,72;4013,46;4452,83;3963,33;1974;3,23;2097,35;3,3;2,9;9,5;3993,51;2012,23;3652,22;38,32;5,56;4,17;3,3;2,8;2,9;2,82;2,83;3,2;1917,88;6056,64;6208,64;2,75;2006,53;8250,42;7996,15;7295,71;3967,33;4056,41;1781,22
1967,54;3,17;1969,47;4053,75;6144,75;4010,82;3922,39;4025,2;3,53;4,2;4180,08;14,7;2,72;1943,09;3991,75;3974,4;3697,66;1945,19;1916,42;1941,7;1917,93;2006,16;1944,45;1965,24;1946,2;1963,09;8,98;4135,76;4194,26;4,04;2,86;10221,46;8009,99;7278,01;4038,57;2004,14;9,33
54,26;4,66;4721,45;4078,97;2557,59;4015,21;5897,1;6094,41;3,01;3,08;4123,25;4,31;3,1;9,96;2037,23;2134,49;3695,15;1943,29;3,74;3,42;3,83;2,97;3,06;3,04;3,12;2,66;1926,31;4119,45;6233,01;2,85;2,68;10228,17;7957,35;7383,79;4012,56;4008,24;1795,94
1930,14;4,39;6207,49;4000,89;3794,92;3998,26;6373,73;6011,38;2,51;1906,66;2120,72;3,18;3,27;2040,43;4068,63;2017,51;3595,06;41,01;4,19;3,67;3,45;3,42;2,78;2,8;2,87;3,37;10,03;6070,52;4114,93;1979,73;3,06;8203,21;8056,96;7515,48;3905,17;4111,26;10,15
55,26;3,9;1981,37;2001,71;2571,39;4084,21;5978,93;7949,02;2,56;3,79;4099,95;2018,07;1941,08;12,19;3984;3886,75;1834,91;1919,27;8,74;5,67;3,43;3,5;3,38;3,18;2,68;5,11;9,12;4163,8;4075,42;2,9;2,94;10251,18;8137,58;7408,69;4065,73;2049,74;1830,96
1909,4;1952,73;1935,03;3892,87;3959,62;4009,32;8374,02;6170,05;1961,85;3,17;2120,9;3,28;3,16;11,95;2055,28;2052,44;3635,05;1934,12;5,96;4,33;3,43;2,62;2,91;3,1;3,32;4,22;1876,6;4037,19;6162,16;3,15;1999,51;10204,77;8189,42;7334,52;3924,03;4046,5;9,65
51,97;3,64;5884,58;4445,63;2502,26;4002,15;8084,21;8064,43;2,87;3;4091,58;3,06;2,96;2035,32;4059,09;2015,33;3637,24;37,75;1928,54;1955,63;1895,6;1878,23;1964,24;1954,34;1912,12;1946,52;9,32;5991,78;4162,69;3,07;2,6;8204,49;8145,72;7321,84;3920,72;4035,98;1805,9
1902,57;5,43;2004,81;1928,99;1944,59;4012,54;5877,43;8019,02;3,77;3,24;4171,73;3,69;9,32;9,94;3960,81;4059,59;3769,18;1932,5;6,89;4,6;3,58;2,88;3,04;2,54;2,94;3,99;1949,67;4074,77;6003,91;2,83;2,65;10148;8183,61;7337,07;3996,07;2052,15;10,23
54,56;5;1945,68;3907,82;3884,73;4000,12;6564,19;4116,07;3,56;2007,33;2116,45;3,08;2,61;10,62;2021,74;2018,82;1855,63;1951,6;6,2;4,33;2,95;2,54;2,46;2,79;2,71;2,63;9,12;4121,18;4135;1949,89;3,11;10201,57;8098,86;7335,59;4045,81;4038,08;1791,76
1943,9;4,51;3881,96;4478,89;1959,54;4007,06;8036,07;8608,55;3,93;3,87;4082,39;2024,96;2017,4;2010,48;4037,52;2039,49;3713;40,21;3,79;3,45;3,61;3,32;5,55;3,84;3;3,11;8,98;6110,24;4072,99;3,25;3,07;8135,77;8193,04;7282,09;3924,7;2093,81;12,16
55,44;5,31;1933,43;5980,1;3861,7;4012,09;3974,93;4055,98;1965,63;3,3;2157,55;4,1;3,49;11,38;4147,12;4018,58;1915,59;1923,88;4,15;3,51;2,86;3,16;3,59;2,97;2,65;2,4;1925,07;4074,6;6037,25;2,65;1995,77;10303,4;8021,42;7449,41;3925,06;4039,32;1787,7
1932,75;2153,51;1968,42;4120,75;1888,19;4181;8066,11;8018,62;2,78;3,1;4166,58;5,17;3,09;2032,85;2046,99;2046,56;1891,8;1961,79;1852,45;1953,25;1946,44;1913,43;1953,44;1952,01;1923,24;1979,81;9,22;4073,38;4089,22;4,26;2,93;10006,27;8167,57;7404,23;4012,62;2153,31;10,32
73,12;3,54;1966,08;8403,67;1972,24;4075,72;7944,89;8161,17;2,62;3,16;4056,49;3,35;3,85;11,1;4037,97;2079,95;3879,78;38,98;4,21;4,01;5,68;2,91;3,66;3,01;2,92;2,62;1887,65;6017,67;6020,94;2,62;3,32;7945,2;8197,12;7612,98;4208,3;2212,38;1811,57
2476,28;3,65;4119,33;4024,63;2606,71;4003,01;3992,24;6755,31;3,3;1917,05;2101,56;3,49;3,09;11,51;4001,48;4045;1886,72;2176,96;10,01;6,08;10,67;3,11;2,38;2,5;2,68;3,33;9,29;4080,68;4061,82;1935,38;5,55;10008,81;8157,4;7460,3;3988,92;4182,6;11,76
58,8;5,62;6125,08;6287,92;3977,83;3990,11;5850,05;4595,57;3,27;3,98;4264,21;1978,27;1999,26;2095,65;2023,88;3998,97;3571,25;1951,74;6,73;5,18;5,06;4,09;2,72;3,36;3,19;3,58;9,21;4108,28;4072,83;3,94;3,82;10099,77;12136;7435,08;4018,76;2090,72;1813,24
2386,4;6,37;1975,73;1990,96;2116,74;4002,01;4003,43;4030,99;2219,14;4,05;2159,53;3,26;3,08;10,87;4055,72;2047,06;1832,61;37,3;1916,29;4,6;4,17;3,16;2,76;2,81;2,88;2,99;1918,29;6222,97;6056,46;3,45;2054,79;8110,75;10253,79;7420;4067,78;2088,66;11,15
54,06;5,65;5845,29;3922,95;1907,43;3998,22;8371,87;8598,48;2,74;2,9;4136,51;3,36;2,96;9,64;4010,3;3978,57;1800,4;1948,24;8,02;1948,56;1883,98;1914,69;1977,76;1916,29;1896,68;1969,51;9,04;4105,95;4072,09;3,41;2,67;10043,11;10177,07;7446,52;5895,9;4040,44;1785,32
1912,06;2042,63;6437,58;1942,28;4531,42;4012,31;3858,72;4043,61;2,74;2,69;4078,43;3,85;2,89;1964;2061,95;2023,71;3680,69;1889,21;4,4;3,65;3,78;2,89;2,88;3,28;2,99;2,94;1920,55;4257,05;6119,19;3,28;2,74;12588,69;8037,38;7345,84;5917,21;2096,49;15,09
58,08;4,68;4251,47;4421,84;1954,02;4000,48;6009,6;6160,52;3,38;1987,3;2142,36;2,93;2,68;9,95;4034,45;4001,64;2163,28;41,06;5,84;5,85;4,06;3,28;2,35;2,52;2,87;2,45;10,63;6231,12;4132,35;1939,26;3,13;12545,47;8184,69;7464,2;5979,12;2099,45;1833,17
2217,58;4,21;3921,4;6420,2;4369,35;4030,44;3960,39;4057,1;3,1;3,81;4125,95;2003,6;1978,69;2075,7;4074,34;2013,28;3640,69;1856,63;1898,9;5,3;3,71;3,43;2,44;2,98;3,57;2,68;9,12;4134,59;4276,18;2,8;2,71;12224,65;8121,15;7643,82;5955,16;4032,14;10,86
57,04;3,83;4375,35;5905,32;3910,67;4010,58;1975,73;2010,54;1941,12;3,14;2181,01;3,71;3,02;10,06;4184,37;4076,63;1868,66;1923,56;6,83;5,06;3,72;2,95;2,52;3,53;2,79;2,87;1928,75;4141,49;6185,03;3,65;1975,11;10221,13;8093,68;7391,1;5975,9;2097,3;1819,76
2423,49;3,83;1924,11;2516,42;2005,06;3911,9;5920,71;6029,33;2,93;3,72;4102,82;3,62;2,6;11,85;3909,3;4057,28;1920,16;38,26;6,52;1918,09;1929,75;1894,63;1956,6;1893,21;1940,57;1975,15;9,09;6073,17;4515,86;4,06;2,74;10282,78;7986,08;7383,02;4173,76;2032,69;10,27
56,73;4,97;3822,6;5926,91;1948,8;4010,3;7930,04;8108,22;2,66;3,04;4127,3;2,95;2,81;1993,5;4036,5;2011,87;3831,54;1934,42;7,36;5,73;4,07;3,15;2,44;2,5;2,72;2,85;1926,09;4136,95;6219,96;3;3,53;8232,67;8094,9;7513,95;3970,77;4022,65;1791,87
1939,81;2383,75;6176,72;6355,6;1949,91;4018,04;6239,82;8159,63;3,17;1923,82;2124,93;2,91;2,72;10,23;4077,97;3988,24;1855,84;1963,38;1899,94;3,71;4,16;3,36;2,27;3,18;2,96;2,98;8,73;4125,13;4125,46;1946,89;3,42;10432,43;7981,24;7408,89;3996,49;2051,37;10,05
53,77;3,89;3943,79;5834,79;2629,45;3943,18;3970,71;4269,87;2,91;3,49;4095,93;1992,05;2122,29;10,39;3995,66;2057,39;3714,72;47,23;5,34;3,74;3,33;2,73;3,04;2,93;3,22;2,89;8,83;6049,72;4185,92;2,77;2,91;10094,07;7949,78;7450,89;3977,04;2105,91;1785,36
2206,99;3,39;1914,33;6265,56;3915,67;4019,09;6041,32;3991,7;1909,77;3,43;2132,38;3,01;3,05;2003,91;3927,85;2011,74;1861,39;1917,64;4,54;4,43;3,1;2,5;2,56;3,11;2,69;2,64;1893,69;4066,47;6046,26;2,62;2005,87;8066;7933,78;7625,51;4018,12;4058,18;10,32
52,73;4,35;5797,33;5944,56;2561,24;4014,75;5953,17;6091,4;3,13;4,13;4170;3,36;2,74;9,19;4076,61;4062,13;1890,95;1960,62;4,43;1913,44;1862,85;1956,41;1898,18;1944,15;1906,92;1949,34;9,01;4021,94;4172,96;3,1;3,77;10179,62;8121,5;7379,05;3924,53;2040,3;1836,24
2167,2;3,37;3998,07;4470,71;2548,11;3993,62;8047,16;8150,11;3,02;3,3;4120,97;4,05;3,65;2008,65;3995,74;2050,31;3699,29;37,73;5,37;4,29;3,7;5,97;2,4;2,72;2,98;2,49;1893,49;6025,68;6249,82;3,49;3,26;10442,93;8149,43;7484,59;3977,14;2106,83;9,71
54,28;4,74;3888,73;5879,23;1950,98;4020,86;8065,17;8049,09;3;1946,56;2127,58;2,8;3,18;9,14;4074,14;2020,18;1913,12;1877,03;1931,15;3,23;3,8;2,55;2,28;2,5;2,85;2,4;8,9;3982,59;4105,35;1934,64;3,25;8450,29;8061,29;7538,92;3949,89;4187,65;1844,73
1914,16;2349,88;3944,89;7770,02;3963,29;4039,97;2028,19;2137,69;2,68;4;4168,11;2013,74;2031,87;9,93;2045,24;4002,75;3772,26;1875,71;6,27;13,04;3,42;3,01;2,73;2,79;2,62;3,25;9,18;4017,12;4182,85;3,73;3,06;10480,95;7950,84;7662,03;4004,02;2080,68;10,03
52,1;3,7;5966,56;4462,48;2463,61;5350,84;8058,18;8147,32;1949,11;3,54;2143,22;3,02;3,02;2012,86;4788,43;2010,4;1824,26;38,25;12,46;3,36;3,08;2,94;2,8;2,89;2,91;2,26;1926,42;6147,39;6119,97;11,14;2007,3;10331,24;8446,68;7546,18;5917,25;2030,57;1787,81
1924,46;4,08;3892,41;3914,13;1944;4016,75;8234,57;8105,38;2,78;3,13;4121,09;2,93;2,46;9,76;4054,64;2014,95;1937,5;2108,74;4,47;1922,57;1961,75;1901,16;1925,95;1932,83;1990,99;2023,46;8,69;4143,49;4064,02;3,05;3,74;8145,4;7929,71;7567,74;3937,93;4046,44;10,15
49,81;6,99;4634,83;4268,33;1944,73;4004,89;8025,63;8137,91;2,81;2,85;4277,21;3,71;2,49;9,63;2299,1;4064,93;3768,44;1859,07;8,76;6,24;4,65;3,54;2,62;3,07;2,69;3,45;1927,72;4054,19;6128,7;3,61;3,29;10201,92;8107,21;7400,89;3921,77;2096,42;1793,66
2513,91;3,48;5985,5;1931,47;2005,08;4010,82;4024,03;4118,06;2,97;2023,18;2115,66;2,91;2,65;1985,16;4010,42;2015,03;1885,16;37,83;1972,22;4,05;3,82;2,73;2,24;2,61;2,46;2,41;9,09;5978,22;4276,98;1954,57;3,31;10311,63;7891,67;7566,38;3911,77;2156,82;9,93
55,93;5,64;6020,6;4559,44;4551,48;4006,45;4047,03;4075,15;3,01;3,28;4206,58;1952,32;2009,54;9,96;3991,01;2005,09;3749,26;1961,7;4,07;3,84;3,35;3,73;2,18;3,07;3,12;3,28;8,84;4052,71;4283,82;3,6;3,19;8189,75;7995,88;7539,56;3965,28;3987,07;1865,78
1964,1;1898,92;6302,6;4522,8;2557,33;4005,29;5997,63;6034,22;1907,98;3,51;2219,14;3,28;2,66;2003,24;2044,81;3998,68;1889,95;2102,25;6,7;5;7,36;2,89;2,48;2,72;2,88;6,93;1923,42;4120,94;5993,5;3,03;1976,28;10446,04;7897,52;7547,56;4084,52;1995,02;10,96
53,96;3,28;1934,02;5985;4189,22;4011,11;6000,66;5915,25;3,18;3,29;4292,42;2,83;2,46;9,3;4004,28;2010,86;1916,73;37,88;5,72;1933,93;1905,17;1915;1826,92;1964,37;2215,48;1888,67;9,42;5999,92;4049,18;3,56;3,31;10197,52;8081,25;7618,2;6091,46;1988,5;2471,94
1951,39;3,66;1959,57;4529,01;1933,68;4002,14;6109,49;6181,13;3,63;3,48;4207,89;4,06;3,13;9,42;4017,82;1984,75;3702,34;2051,47;7,8;7,08;3,5;3,1;2,7;2,7;3,88;3,86;1985,79;4055,65;6021,3;3,24;2,86;8250,92;8095,41;7837,08;4089,71;3952,3;10,52
51,98;6,42;7789,61;4497,18;3995,71;4001,72;3929,26;3966,24;4,22;2059,33;2088,19;2,98;2,96;2032,13;2089,02;4049,96;1862,77;1944,84;1951,71;5,95;3,93;2,72;2,5;3,78;3,59;3,16;9,52;4012,84;4075,37;1995,5;3,79;10157,16;8079,97;7929,66;4010,24;2015,61;1801,87
1982,05;5,37;3939,9;5879,16;3987,5;4019,61;1985,87;2023,28;2,72;4,56;4097,83;1970,43;1952,89;8,89;4087,78;2007,31;3711,83;38,82;8,18;5,34;3,67;3,5;2,86;3,65;3;3,16;9,84;5977,04;4087,54;4,91;2,97;10025,88;8069,92;7790,53;4029,32;2038,6;11,72
49,74;15,21;5940,42;2493,23;1988,66;3991,86;7998,05;8109,64;1934,06;2,75;2168,89;4,18;2,77;8,92;4043,08;2024,51;1944,24;1944,13;4,54;4,21;3,1;2,76;2,83;2,54;3,39;2,93;1915,81;4022,94;6071,17;4,63;2030,29;8048,1;8112,11;7763,14;3902,89;4001,5;1839,51
1930,77;1910,24;4141,2;6396,22;2568,38;3999;6041,49;6098,54;2,67;3,4;4120,09;3,09;2,62;1997,16;2041,1;4019,28;1853,01;1930,29;4,18;1871,92;1933,13;1797,61;1903,67;1887,66;2188,63;1951,53;9,96;3993,73;4053,56;3,02;3,6;10039,89;7971,65;7680,01;4016,24;2063,09;9,95
64,01;4,36;3991,21;3860,29;2543,92;4002,21;4015,44;4069,59;2,65;3,37;4158,79;4,06;3,3;8,93;4087,47;2032,95;3805,37;38,12;5,71;3,85;2,89;2,95;2,65;2,89;2,83;3,88;1929,71;6009,68;6089,6;4,02;3,22;10126,97;8000,24;7802,22;3975,37;2078,84;10,22
2238,17;6,65;2199,11;5922,13;4022,06;4015,91;3973,12;4018,94;2,78;1964,56;2150,5;2,92;4,96;2018,33;4072,45;2020,78;1910,45;1994,63;1950,78;3,38;3,11;2,61;2,55;2,97;2,87;3,52;9,03;4008,41;4118,03;1992,28;7,05;8260,97;7994,42;7699,71;3976,93;4035,54;1816,47
49,76;6,07;6654,72;5771,66;4539,44;4021,87;1988,69;2038,46;2,81;3,1;4242,25;1980,19;2033,29;9,18;1955,88;3974,67;3801,81;1927,01;3,68;3,79;3,39;3,48;2,94;3,02;4,96;3,01;9,24;4005,5;4164,44;2,91;5,86;10092,72;8031,56;7663,77;4128,68;2113,69;11,01
1941,66;5,21;5963,18;2019,86;2456,08;4003,25;8450,04;8145,96;1904,66;2,84;2155,13;2,94;2,83;9,33;4032,19;2386,74;1925,24;39,85;6;5,37;3,26;2,85;2,37;2,36;3,6;3,69;1887,86;5967,09;6175,37;3,05;1935,59;9986,91;7937,79;7786,99;4034,3;2100,47;1798,54
60,4;6,16;5989;4132,54;2452,32;4004,3;7886,25;8106,79;2,96;2,91;4167,57;2,98;2,77;1990,48;3927,92;2017,18;;1955,32;3,94;1937,42;1929,2;1893,26;1911,88;1968,13;1945,47;1912,55;9,79;4066,23;4116,87;4,04;3,12;8008,08;7914,22;;4073,23;4081,74;10,48
