;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
55,04;9,16;4783,61;3906,33;3949,61;3943,77;4086,56;5945,1;2,58;2,69;4146,31;1977,71;2013,12;9,69;4035,46;4436,56;4047,87;1862,67;1868,55;5,17;3,84;3,57;2,96;3,65;3,26;3,65;9,02;4012,09;4130,26;3,24;3,56;11914,47;7979,55;8113,64;4039,34;2046,55;13,74
1910,78;2268,86;3876,17;8367,85;2190,8;4332,39;8125,82;6046,27;1949,53;3,65;4156;3,07;2,68;2205,41;2040,62;2051,21;2045,51;1862,11;7,38;3,87;3,19;4,06;3,36;2,88;3,26;2,73;1967,13;6026,84;6000,68;3,26;3,36;11797,29;8060,24;7931,56;3843,01;3989,91;1773,63
56,25;8,96;5920,05;3921,21;2026,18;4027,05;4071,65;3996,55;2,93;2004,4;2111,77;3,34;2,57;10,07;3984,82;2011,88;2192,78;39,27;4,55;3,52;1859,15;1943,11;1941,2;1894,83;1931,15;1919,99;9,02;4052,74;4156,11;3,01;3,8;10035,24;8002,84;7815,34;3885,84;2115,13;12,16
2083,08;7,27;6335,25;4419,27;3893,45;4151,72;6061;5987,56;2,9;3,98;4147,23;4,45;3,5;9,46;3997,44;4000,96;3957,41;1931,46;7,24;5,25;3,82;3,48;4,1;3,48;3,32;3,03;1952,15;4031,78;6076,35;3,27;2,96;10117,89;7984,3;7919,05;3894,64;2070,99;1858,83
53,07;13,27;3921,09;4297,24;2586,78;3969,73;4094,69;5989,22;3,4;3,42;2121,89;3,17;2,85;1906,7;2046,39;2092,79;2053,58;1878,42;4,96;1898,47;3,39;3,13;6,55;6,41;3,01;2,67;9,19;5971,16;4179,39;1969,43;1967,93;10399,3;8143,48;7891,18;3959,72;4053,72;10,93
2030,11;18,72;2373,5;7882,28;3945,92;4112,44;6118,61;4063,2;3,48;3,13;4149,97;2015,65;1935,69;9,62;4114,26;2015,74;4064,64;38,51;1936,85;4,57;4,47;2,92;3,28;4,16;3,83;3,42;9,12;4079,86;4115,61;3,71;3,32;8297,47;8553,01;7953,89;4053,35;1997,63;1787,96
46,4;11,99;3966,35;6398,61;1949,94;3973,8;6090,64;8039,62;1895,07;2012,74;4079,01;4,39;3,21;9,82;3989,56;4039,68;2047,7;1899,11;4,58;3,49;3,11;2,84;8,94;3,65;2,99;2,62;1969,48;4070,79;6119,06;3,3;4,25;9977,21;8072,14;7848,87;4000,35;2347,52;12,68
1964,86;2080,47;3811,9;5794,58;2020,84;3967,97;6097,94;4034,13;3,08;3,58;2109,82;3,42;3,67;2000,19;2010,64;2054,14;2081,83;1922,82;7,23;2808,41;1917,28;1915,37;1850,38;1901,14;1876,99;1948,75;10,12;6060,61;4096,93;3,4;1896,11;9953;8085,8;7967,95;3870,78;4073,28;1832,14
54,95;5,28;4398,68;5910,08;1917,52;4473,28;8532,75;7954,9;3,54;3,35;4052,65;3,27;2,8;9,37;4161,03;1949,47;4049,14;39,09;3,72;3,07;3,48;2,92;3,46;4,3;3,77;2,71;2161,35;4080,35;6013,04;3,18;4,53;7948,64;8167,53;7976,84;3924,32;2102,33;14,63
2166,07;6,88;6373,55;4380,17;4578,26;4656,21;2235,92;3855,78;3,32;3,19;2161,54;3,33;3,16;1980,08;4050,32;4062,36;2067,9;1875,62;5,37;3,85;3,35;2,8;3,2;3,56;3,15;2,51;9,3;4067,09;4105,13;1962,19;6,31;10587,24;8251,07;7823,51;6164,99;2075,5;1794,2
